Project ID	Street	Zip
834 PACIFIC STREET	834 PACIFIC STREET	11238
836 MONROE STREET	291 FENIMORE STREET	11225
840 Fulton Street	840 FULTON STREET	11238
840 MORRIS PARK AVENUE APARTMENTS	840 MORRIS PARK AVENUE	10462
845 GRAND ST	845 GRAND STREET	11211
846 QUINCY STREET APARTMENTS	846 QUINCY STREET	11221
847 Fox Street	847 FOX STREET	10459
847 MADISON STREET APARTMENTS	847 MADISON STREET	11221
848 LORIMER STREET	860 LORIMER STREET	11222
85 Commercial St.	85 COMMERCIAL STREET	11222
85 ROGERS AVENUE	85 ROGERS AVENUE	11216
85 RUTLEDGE STREET	85 RUTLEDGE STREET	11249
850 FLATBUSH AVENUE	850 FLATBUSH AVENUE	11226
855 DEKALB AVENUE APARTMENTS	855 DEKALB AVENUE	11221
857 HORNADAY PLACE	2145 MOHEGAN AVENUE	10460
86 Fleet Place	166 MYRTLE AVENUE	11201
86-15 ROCKAWAY BOULEVARD APARTMENTS	86-15 ROCKAWAY BOULEVARD	11416
86-57 MIDLAND PARKWAY APARTMENTS	86-57 MIDLAND PARKWAY	11432
860 EAST 35TH STREET APARTMENTS	860 EAST 35 STREET	11210
862 EAST 35TH STREET APARTMENTS	862 EAST 35TH STREET	11210
863 FAIRMOUNT PLACE	863 FAIRMOUNT PLACE	10460
866 EAST 178TH STREET	866 EAST 178 STREET	10460
867 DEKALB AVENUE	867 DE KALB AVENUE	11221
869 MYRTLE AVENUE	849 MYRTLE AVENUE	11206
869 PARK AVENUE	869 PARK AVENUE	11206
87-65 171ST STREET APARTMENTS	87-67 171 STREET	11432
874 Willoughby Avenue	874 WILLOUGHBY AVENUE	11221
875 4 AVE	875 4 AVENUE	11232
875 DEKALB AVENUE APARTMENTS	875 DEKALB AVENUE	11221
876 BERGEN STREET	876 BERGEN STREET	11238
877 PARK AVENUE	877 PARK AVENUE	11206
88 HART STREET	88 HART STREET	11206
88 JEFFERSON STREET	88 JEFFERSON STREET	11206
88 WALTON STREET	90 WALTON STREET	11206
88-20 153RD STREET	88-20 153 STREET	11432
88-36 139TH STREET	138-41 JAMAICA AVENUE	11435
88-56 162ND STREET	88-56 162 STREET	11432
880 MACON STREET	880 MACON STREET	11233
880 METRO REALTY	878 METROPOLITAN AVENUE	11211
883 BRYANT AVENUE	883 BRYANT AVENUE	10474
885 ROGERS PLAZA	885 ROGERS AVENUE	11226
888 FOUNTAIN AVENUE BUILDING A2	911 ERSKINE STREET	11239
888 FOUNTAIN AVENUE BUILDING B3	881 ERSKINE STREET	11239
89 BARTLETT STREET	89 BARTLETT STREET	11206
89-15 138TH STREET APARTMENTS	89-15 138 STREET	11435
893 WILLOUGHBY AVENUE	893 WILLOUGHBY AVENUE	11221
894 BUSHWICK AVENUE	894 BUSHWICK AVENUE	11221
894/896/900 NEW YORK AVENUE	894 NEW YORK AVENUE	11203
894/896/900 NEW YORK AVENUE	896 NEW YORK AVENUE	11203
894/896/900 NEW YORK AVENUE	900 NEW YORK AVENUE	11203
898 BUSHWICK AVENUE APARTMENTS	898 BUSHWICK AVENUE	11221
9 ARGYLE ROAD HDFC.GHPP.FY19	9 ARGYLE ROAD	11218
9 FORT WASHINGTON AVENUE CLUSTER	9 FT WASHINGTON AVENUE	10032
9 FORT WASHINGTON AVENUE CLUSTER	609 WEST 158 STREET	10032
9 FORT WASHINGTON AVENUE CLUSTER	518 WEST 161 STREET	10032
9 FORT WASHINGTON AVENUE CLUSTER	544 WEST 163 STREET	10032
9 SHERMAN ASSOCIATES LLC.PLP.FY19	9 SHERMAN AVENUE	10040
901 MYRTLE AVENUE	98 TOMPKINS AVENUE	11206
903 DEKALB AVENUE	903 DEKALB AVENUE	11221
907 Driggs Avenue	907 DRIGGS AVENUE	11211
909 ATLANTIC AVENUE (BPL OFFSITE 2 OF 2)	909 ATLANTIC AVENUE	11238
909 EAST TREMONT	913 EAST TREMONT AVENUE	10460
91 FRANKLIN AVENUE APARTMENTS	91 FRANKLIN AVENUE	11205
911 Longwood/ 993 Intervale	993 INTERVALE AVENUE	10459
911 Longwood/ 993 Intervale	911 LONGWOOD AVENUE	10459
912 BERGEN STREET APARTMENTS	912 BERGEN STREET	11238
915 DAWSON STREET APARTMENTS	915 DAWSON STREET	10459
915 EAGLE AVENUE APARTMENTS	915 EAGLE AVENUE	10456
915 ELSMERE PLACE	915 ELSMERE PLACE	10460
916 BERGEN APARTMENTS	916 BERGEN STREET	11238
92 St. Nicholas Avenue HDFC	92 ST NICHOLAS AVENUE	10026
920 PACIFIC STREET APARTMENTS	920 PACIFIC STREET	11238
920 Prospect Avenue	920 PROSPECT AVENUE	10459
924 DEKALB AVENUE	924 DEKALB AVENUE	11221
924 MYRTLE AVENUE APARTMENTS	924 MYRTLE AVENUE	11206
93 LINDEN STREET	405 EVERGREEN AVENUE	11221
9306 Shore Front Parkway	93-06 SHORE FRONT PARKWAY	11693
938 BUSHWICK AVENUE	938 BUSHWICK AVENUE	11221
94 SOUTH 4TH STREET	94 SOUTH 4 STREET	11249
94-02 148th Street	94-02 148 STREET	11435
945-947 East 94th Street	945 EAST 94 STREET	11236
948 & 954 HERKIMER STREET APARTMENTS	954 HERKIMER STREET	11233
948 & 954 HERKIMER STREET APARTMENTS	948 HERKIMER STREET	11233
948 MYRTLE AVE	948 MYRTLE AVENUE	11206
951 MADISON STREET APARTMENTS	951 MADISON STREET	11221
96 HIMROD STREET	96 HIMROD STREET	11221
96-16 133RD AVENUE, QUEENS	96-16 133 AVENUE	11417
961 MADISON STREET APARTMENTS	961 MADISON STREET	11221
961 WILLOUGHBY AVENUE	961 WILLOUGHBY  AVENUE	11221
963 ANDERSON AVE.GHPP.FY17	963 ANDERSON AVENUE	10452
963 ATLANTIC AVENUE	963 ATLANTIC AVENUE	11238
969 57TH STREET	969 57 STREET	11219
975 LIBERTY AVENUE	975 LIBERTY AVENUE	11208
977 MANHATTAN AVENUE	977 MANHATTAN AVENUE	11222
98 HIMROD STREET	98 HIMROD STREET	11221
980 WESTCHESTER AVE.	980 WESTCHESTER AVENUE	10459
984 HALSEY STREET APARTMENTS	984 HALSEY STREET	11207
984 MADISON STREET	984 MADISON STREET	11221
987 WILLOUGHBY AVENUE APARTMENTS	987 WILLOUGHBY AVENUE	11221
993-995 UNION AVENUE CLUSTER	1042 LONGFELLOW AVENUE	10459
993-995 UNION AVENUE CLUSTER	774 UNION AVENUE	10455
993-995 UNION AVENUE CLUSTER	993 UNION AVENUE	10459
993-995 UNION AVENUE CLUSTER	995 UNION AVENUE	10459
A.D. & Nash Co. L.P.	1896 FULTON STREET	11233
A.D. & Nash Co. L.P.	1003 LAFAYETTE AVENUE	11221
A.D. & Nash Co. L.P.	480 LAFAYETTE AVENUE	11205
A.D. & Nash Co. L.P.	838 LAFAYETTE AVENUE	11221
A.D. & Nash Co. L.P.	840 LAFAYETTE AVENUE	11221
A.D. & Nash Co. L.P.	895 LAFAYETTE AVENUE	11221
A.D. & Nash Co. L.P.	952 LAFAYETTE AVENUE	11221
A.D. & Nash Co. L.P.	312 VAN BUREN STREET	11221
ACACIA. 128 EAST 112TH ST. VIRGINIA HOUSE	124 EAST 112 STREET	10029
ACMH.2053 RYER AVE	2051 RYER AVENUE	10457
ACRMD LUBIN	79 3 STREET	11231
ADEE TOWER APARTMENTS INC.HRP.FY18	3000 BRONX PARK EAST	10467
AHC HOMES HDFC.YR15.FY21	1842 ARTHUR AVENUE	10457
AHC HOMES HDFC.YR15.FY21	1844 ARTHUR AVENUE	10457
AHC HOMES HDFC.YR15.FY21	1846 ARTHUR AVENUE	10457
AHC HOMES HDFC.YR15.FY21	1884 ARTHUR AVENUE	10457
AHC HOMES HDFC.YR15.FY21	1888 ARTHUR AVENUE	10457
AHC HOMES HDFC.YR15.FY21	2068 DALY AVENUE	10460
AHC HOMES HDFC.YR15.FY21	910 EAST 178 STREET	10460
AHC HOMES HDFC.YR15.FY21	867 EAST 179 STREET	10460
AHC HOMES HDFC.YR15.FY21	916 EAST 179 STREET	10460
AHC HOMES HDFC.YR15.FY21	934 EAST 179 STREET	10460
AHC HOMES HDFC.YR15.FY21	867 EAST 181 STREET	10460
AHC HOMES HDFC.YR15.FY21	1961 VYSE AVENUE	10460
AHC HOMES HDFC.YR15.FY21	866 ELSMERE PLACE	10460
AHC HOMES HDFC.YR15.FY21	890 ELSMERE PLACE	10460
AHC HOMES HDFC.YR15.FY21	895 FAIRMOUNT PLACE	10460
AHC HOMES HDFC.YR15.FY21	1941 SOUTHERN BOULEVARD	10460
AHC HOMES HDFC.YR15.FY21	2081 VYSE AVENUE	10460
AHI EZER APARTMENTS	1960 EAST 7 STREET	11223
AHI EZER APARTMENTS	1965 EAST 7 STREET	11223
AILEEN AVERY HDFC.HRP.FY19	474 WEST 148 STREET	10031
AINSLIE TOWER	467 KEAP STREET	11211
ALBANY KINGSTON HDFC	1 ALBANY AVENUE	11216
ALBANY KINGSTON HDFC	15 ALBANY AVENUE	11216
ALBANY KINGSTON HDFC	20 ALBANY AVENUE	11216
ALBANY KINGSTON HDFC	3 ALBANY AVENUE	11216
ALBANY KINGSTON HDFC	7 ALBANY AVENUE	11216
ALBANY KINGSTON HDFC	305 DECATUR STREET	11233
ALBANY KINGSTON HDFC	365 HERKIMER STREET	11213
ALBANY KINGSTON HDFC	12 KINGSTON AVENUE	11213
ALBANY KINGSTON HDFC	37 KINGSTON AVENUE	11213
ALBANY KINGSTON HDFC	39 KINGSTON AVENUE	11213
ALBANY KINGSTON HDFC	24 MAC DONOUGH STREET	11216
ALBANY KINGSTON HDFC	30 MAC DONOUGH STREET	11216
ALBANY KINGSTON HDFC	32 MAC DONOUGH STREET	11216
ALBANY KINGSTON HDFC	40 MAC DONOUGH STREET	11216
ALBANY KINGSTON HDFC	12 ALBANY AVENUE	11216
ALBANY KINGSTON HDFC	6 ALBANY AVENUE	11216
ALBERTA ALSTON HOUSE	52-09 99 STREET	11368
ALEMBIC. 1880 BOSTON ROAD	1880 BOSTON ROAD	10460
ALEXANDER LOFTS	141 ALEXANDER AVENUE	10454
ALEXANDER LOFTS	139 ALEXANDER AVENUE	10454
ALMA - 480 ST MARKS	480 ST MARKS AVENUE	11238
ALMA - 500 ST MARKS	500 SAINT MARKS AVENUE	11238
ALMA - 523 PROSPECT	523 PROSPECT PLACE	11238
ALMA - 545 PROSPECT PLACE	545 PROSPECT PLACE	11238
ALMA - 565 PROSPECT PLACE	565 PROSPECT PLACE	11238
ALMA - 713 CLASSON	713 CLASSON AVENUE	11238
AMELIA VALENTI.HRP.FY18	1415 ROWLAND STREET	10461
APEX PLACE	61-11 108 STREET	
APEX PLACE	110-41 COLONIAL AVENUE	11375
APEX PLACE	108-75 62 DRIVE	11375
AQUINAS APARTMENTS LP.PLP.FY19	1879 CLINTON AVENUE	10457
AQUINAS APARTMENTS LP.PLP.FY19	1933 CLINTON AVENUE	10457
AQUINAS APARTMENTS LP.PLP.FY19	1935 CLINTON AVENUE	10457
AQUINAS APARTMENTS LP.PLP.FY19	601 EAST 178 STREET	10457
AQUINAS APARTMENTS LP.PLP.FY19	744 EAST TREMONT AVENUE	10457
AQUINAS APARTMENTS LP.PLP.FY19	748 EAST TREMONT AVENUE	10457
ARCHER AVENUE	92-61 165 STREET	11433
ARKER. 888 FOUNTAIN AVE. BUILDING B1	888 FOUNTAIN AVENUE	11208
ARKER.40 DEBEVOISE STREET	40 DEBEVOISE STREET	11206
ASTORIA TOWERS.HPO.FY21	110-14 ASTORIA BOULEVARD	11369
ATLANTIC CHESTNUT - LOT 1	250 EUCLID AVENUE	11208
AURUM	2239 ADAM C POWELL BOULEVARD	10027
AUSTIN 147	880 EAST 147 STREET	10455
AVALON MIDTOWN WEST	234 WEST 50 STREET	10019
Acacia Gardens	401 EAST 120 STREET	10035
Academy Gardens LLC	501 COMMONWEALTH AVENUE	10473
Academy Gardens LLC	521 COMMONWEALTH AVENUE	10473
Academy Gardens LLC	539 COMMONWEALTH AVENUE	10473
Academy Gardens LLC	549 COMMONWEALTH AVENUE	10473
Academy Gardens LLC	1741 LACOMBE AVENUE	10473
Academy Gardens LLC	520 ROSEDALE AVENUE	10473
Academy Gardens LLC	540 ROSEDALE AVENUE	10473
Academy Gardens LLC	550 ROSEDALE AVENUE	10473
Academy Gardens LLC	501 COMMONWEALTH AVENUE	10473
Affordable & Supportive Family Housing at Van Dyke	603 MOTHER GASTON BOULEVARD	11212
Aquinas Deacon Juan Santos HDFC	2060 CROTONA PARKWAY	10460
Aquinas Deacon Juan Santos HDFC	985 EAST TREMONT AVENUE	10460
Arker.34-11 Beach Channel Drive	34-11 BEACH CHANNEL DRIVE	11691
Arverne View Apartments (AKA Ocean Village)	105 BEACH 56 PLACE	11692
Arverne View Apartments (AKA Ocean Village)	119 BEACH 56 PLACE	11692
Arverne View Apartments (AKA Ocean Village)	129 BEACH 56 PLACE	11692
Arverne View Apartments (AKA Ocean Village)	141 BEACH 56 PLACE	11692
Arverne View Apartments (AKA Ocean Village)	102 BEACH 59 STREET	11692
Arverne View Apartments (AKA Ocean Village)	116 BEACH 59 STREET	11692
Arverne View Apartments (AKA Ocean Village)	122 BEACH 59 STREET	11692
Arverne View Apartments (AKA Ocean Village)	132 BEACH 59 STREET	11692
Arverne View Apartments (AKA Ocean Village)	146 BEACH 59 STREET	11692
Arverne View Apartments (AKA Ocean Village)	57-07 SHORE FRONT PARKWAY	11692
Arverne View Apartments (AKA Ocean Village)	57-15 SHORE FRONT PARKWAY	11692
Arverne/Nordak	353 BEACH 57 STREET	11692
Atlantic Plaza Towers	233 THOMAS BOYLAND STREET	11233
Atlantic Plaza Towers	214 ROCKAWAY AVENUE	11233
Atlantic Yards B14 (Pacific Park)	535 CARLTON AVENUE	11238
Atlantic Yards B3	38 6 AVENUE	11217
Audubon	2321 ADAM C POWELL BOULEVARD	10030
BALTON COMMONS	267 WEST 126 STREET	10027
BAM Cultural District North Site Tower II	15 LAFAYETTE AVENUE	11217
BAM South Apartments (20140284)	286 ASHLAND PLACE	11217
BANANA KELLY HDFC.GHPP.FY18	936 KELLY STREET	10459
BANANA KELLY HDFC.GHPP.FY18	940 KELLY STREET	10459
BANANA KELLY HDFC.GHPP.FY18	944 KELLY STREET	10459
BANANA KELLY. BK CLUSTER. JOE NYC	941 INTERVALE AVENUE	10459
BANANA KELLY. BK CLUSTER. JOE NYC	976 TINTON AVENUE	10456
BAY TOWERS	19-Mar BEACH 98 STREET	
BEACH 21ST STREET	1047 BEACH 21 STREET	11691
BEACH GREEN DUNES - PHASE 2	4519 ROCKAWAY BEACH BOULEVARD	11691
BEACH GREEN NORTH	4551 ROCKAWAY BEACH BOULEVARD	11691
BEC CONTINUUM HDFC.YR15.FY2017	354 41 STREET	11232
BEC CONTINUUM HDFC.YR15.FY2017	358 41 STREET	11232
BEC CONTINUUM HDFC.YR15.FY2017	555 49 STREET	11220
BEC CONTINUUM HDFC.YR15.FY2017	152 ALBANY AVENUE	11213
BEC CONTINUUM HDFC.YR15.FY2017	164 ALBANY AVENUE	11213
BEC CONTINUUM HDFC.YR15.FY2017	1439 BEDFORD AVENUE	11216
BEC CONTINUUM HDFC.YR15.FY2017	1447 BEDFORD AVENUE	11216
BEC CONTINUUM HDFC.YR15.FY2017	1453 BEDFORD AVENUE	11216
BEC CONTINUUM HDFC.YR15.FY2017	1455 BEDFORD AVENUE	11216
BEC CONTINUUM HDFC.YR15.FY2017	1458 BEDFORD AVENUE	11216
BEC CONTINUUM HDFC.YR15.FY2017	1057 BERGEN STREET	11216
BEC CONTINUUM HDFC.YR15.FY2017	261 BUFFALO AVENUE	11213
BEC CONTINUUM HDFC.YR15.FY2017	1347 EASTERN PARKWAY	11233
BEC CONTINUUM HDFC.YR15.FY2017	118 FENIMORE STREET	11225
BEC CONTINUUM HDFC.YR15.FY2017	634 FRANKLIN AVENUE	11238
BEC CONTINUUM HDFC.YR15.FY2017	645 FRANKLIN AVENUE	11238
BEC CONTINUUM HDFC.YR15.FY2017	683 FRANKLIN AVENUE	11238
BEC CONTINUUM HDFC.YR15.FY2017	782 FRANKLIN AVENUE	11238
BEC CONTINUUM HDFC.YR15.FY2017	67 HANSON PLACE	11217
BEC CONTINUUM HDFC.YR15.FY2017	75 HANSON PLACE	11217
BEC CONTINUUM HDFC.YR15.FY2017	145 HART STREET	11206
BEC CONTINUUM HDFC.YR15.FY2017	155 HART STREET	11206
BEC CONTINUUM HDFC.YR15.FY2017	122 KINGSTON AVENUE	11213
BEC CONTINUUM HDFC.YR15.FY2017	1234 LINCOLN PLACE	11213
BEC CONTINUUM HDFC.YR15.FY2017	974 MYRTLE AVENUE	11206
BEC CONTINUUM HDFC.YR15.FY2017	637 PARK PLACE	11238
BEC CONTINUUM HDFC.YR15.FY2017	985 PARK PLACE	11213
BEC CONTINUUM HDFC.YR15.FY2017	19 PATCHEN AVENUE	11221
BEC CONTINUUM HDFC.YR15.FY2017	22A PATCHEN AVENUE	11221
BEC CONTINUUM HDFC.YR15.FY2017	581 PROSPECT PLACE	11238
BEC CONTINUUM HDFC.YR15.FY2017	340 ST JOHNS PLACE	11238
BEC CONTINUUM HDFC.YR15.FY2017	738 ST JOHNS PLACE	11216
BEC CONTINUUM HDFC.YR15.FY2017	264 ST MARKS AVENUE	11238
BEC CONTINUUM HDFC.YR15.FY2017	718 ST MARKS AVENUE	11216
BEC CONTINUUM HDFC.YR15.FY2017	171 TOMPKINS AVENUE	11206
BEC CONTINUUM HDFC.YR15.FY2017	165 VAN BUREN STREET	11221
BEC CONTINUUM HDFC.YR15.FY2017	171 VAN BUREN STREET	11221
BEC CONTINUUM HDFC.YR15.FY2017	258 VERNON AVENUE	11206
BEC CONTINUUM HDFC.YR15.FY2017	264 VERNON AVENUE	11206
BEC CONTINUUM HDFC.YR15.FY2017	643 WILLOUGHBY AVENUE	11206
BEC CONTINUUM HDFC.YR15.FY2017	685 WILLOUGHBY AVENUE	11206
BEC CONTINUUM HDFC.YR15.FY2017	736 WILLOUGHBY AVENUE	11206
BEC CONTINUUM HDFC.YR15.FY2017	285 LINCOLN PLACE	11238
BEC Phase 1	1430 BEDFORD AVENUE	11216
BEC Phase 1	268 BUFFALO AVENUE	11213
BEC Phase 1	1491 LINCOLN PLACE	11213
BEC Phase 1	784 MARCY AVENUE	11216
BEC Phase 1	12 VERNON AVENUE	11206
BEC Phase 1	16 VERNON AVENUE	11206
BEC Phase 1	4 VERNON AVENUE	11206
BEC Phase 1	8 VERNON AVENUE	11206
BEC Phase 1	1432 BEDFORD AVENUE	11216
BEC Phase 1	1434 BEDFORD AVENUE	11216
BEC Phase 1	1440 BEDFORD AVENUE	11216
BEC Phase 1	477 GATES AVENUE	11216
BEC Phase 1	25 PATCHEN AVENUE	11221
BED STUY CENTRAL AND NORTH PHASE I	687A HANCOCK STREET	11233
BED STUY CENTRAL AND NORTH PHASE I	821 WILLOUGHBY AVENUE	11206
BED STUY CENTRAL AND NORTH PHASE I	278 BAINBRIDGE STREET	11233
BED STUY CENTRAL AND NORTH PHASE I	1662 BERGEN STREET	11213
BED STUY CENTRAL AND NORTH PHASE I	697A JEFFERSON AVENUE	11221
BED STUY CENTRAL AND NORTH PHASE I	358 MALCOLM X BOULEVARD	11233
BED STUY CENTRAL AND NORTH PHASE I	191 CHAUNCEY STREET	11233
BED STUY CENTRAL AND NORTH PHASE I	179 CHAUNCEY STREET	11233
BED STUY CENTRAL AND NORTH PHASE I	50 BUFFALO AVENUE	11233
BED STUY CENTRAL AND NORTH PHASE I	1835 ATLANTIC AVENUE	11233
BED STUY CENTRAL AND NORTH PHASE I	13 HUNTERFLY PLACE	11233
BEDFORD ARMS	1336 BEDFORD AVENUE	11216
BEDFORD UNION ARMORY	1089 PRESIDENT STREET	11225
BEDFORD UNION ARMORY	1101 PRESIDENT STREET	11225
BELMONT DANIEL.HPO.FY20	100 BELMONT PLACE	10301
BELMONT DANIEL.HPO.FY20	101 DANIEL LOW TERRACE	10301
BELVEDERE LXVIII	210 JAVA STREET	11222
BEREAN HDFC.HUDMF.FY18	1481 ST MARKS AVENUE	11233
BFC. 118 ST EDWARDS STREET. INGERSOLL SENIOR RESIDENCES	112 ST EDWARDS STREET	11205
BFC. 140 ESSEX ST. ESSEX CROSSING SITE 8	140 ESSEX STREET	10002
BILIG REALTY HDFC.HPO.FY18	1924 LORING PLACE SOUTH	10453
BILIG REALTY HDFC.HPO.FY18	2243 RYER AVENUE	10457
BILIG REALTY HDFC.HPO.FY18	2247 RYER AVENUE	10457
BK UNION AVENUE CLUSTER LLC.PLP.FY18	744 BECK STREET	10455
BK UNION AVENUE CLUSTER LLC.PLP.FY18	987 UNION AVENUE	10459
BK UNION AVENUE CLUSTER LLC.PLP.FY18	991 UNION AVENUE	10459
BK UNION AVENUE CLUSTER LLC.PLP.FY18	1100 WEST FARMS ROAD	10459
BK UNION AVENUE CLUSTER LLC.PLP.FY18	1106 WEST FARMS ROAD	10459
BK WESTCHESTER-HOME STREET LLC.PLP.FY20	1084 HOME STREET	10459
BK WESTCHESTER-HOME STREET LLC.PLP.FY20	1244 WESTCHESTER AVENUE	10459
BLAKE/HENDRIX	617 CLEVELAND STREET	11208
BLAKE/HENDRIX	291 HINSDALE STREET	11207
BLAKE/HENDRIX	289 HINSDALE STREET	11207
BLAKE/HENDRIX	285 HINSDALE STREET	11207
BLAKE/HENDRIX	586 LINWOOD STREET	11208
BLAKE/HENDRIX	669 LINWOOD STREET	11208
BLAKE/HENDRIX	806 BLAKE AVENUE	11207
BLAKE/HENDRIX	980 DUMONT AVENUE	11208
BLAKE/HENDRIX	287 HINSDALE STREET	11207
BLAKE/HENDRIX	846 BLAKE AVENUE	11207
BLAKE/HENDRIX	588 WARWICK STREET	11207
BLAKE/HENDRIX	848 BLAKE AVENUE	11207
BLAKE/HENDRIX	586 WARWICK STREET	11207
BOERUM RESIDENCE LLC	123 BOERUM STREET	11206
BOERUM RESIDENCE LLC	125 BOERUM STREET	11206
BOERUM RESIDENCE LLC	127 BOERUM STREET	11206
BPR HDFC.HPO.FY19	1010 HOE AVENUE	10459
BPR HDFC.HPO.FY19	1014 HOE AVENUE	10459
BRC. 233 LANDING ROAD	233 LANDING ROAD	10468
BRC. 330 EAST 4TH ST. CLYDE BURTON	330 EAST 4 STREET	10009
BREAKING GROUND.453 EAST 142ND ST.BETANCES V	445 EAST 142 STREET	10454
BRIDGE COMMUNITY	271 BAINBRIDGE STREET	11233
BRIDGE COMMUNITY	281 BAINBRIDGE STREET	11233
BRIDGE COMMUNITY	283 BAINBRIDGE STREET	11233
BRIDGE COMMUNITY	285 BAINBRIDGE STREET	11233
BRIDGE.425 E 161ST ST. MELROSE SITE C SHLP PORTION	425 EAST 161 STREET	10451
BRIGHTON BEACH HDFC	3161 BRIGHTON 6 STREET	11235
BRISA. 1488 NY AVE. BPHN SENIOR RESIDENCES	1488 NEW YORK AVENUE	11210
BRKG GND. 626 BERGEN AVE. LA CENTRAL	626 BERGEN AVENUE	10455
BRKG GND. 90 SANDS STREET	90 SANDS STREET	11201
BRKG GND. AAPCI. 3 LIVONIA AVE. EDWIN'S PLACE	278 GRAFTON STREET	11212
BRONX COMMONS	443 EAST 162 STREET	10451
BRONX LIVING LLC	1138 TELLER AVENUE	10456
BRONX POINT A	65 EAST 149 STREET	10451
BRONX PRO. 1017 HOME STREET	1017 HOME STREET	10459
BRONX PRO.1080 WASHINGTON AVE	1074 WASHINGTON AVENUE	10456
BRONXVIEW AT SERVIAM	2885 MARION AVENUE	10458
BROOK 156	740 BROOK AVENUE	10451
BROOK AND BROWN HDFC	199 BROOK AVENUE	10454
BROOK AND BROWN HDFC	205 BROOK AVENUE	10454
BROOK AND BROWN HDFC	198 BROWN PLACE	10454
BROOK AND BROWN HDFC	202 BROWN PLACE	10454
BROOKLYN BRIDGE PARK PIER 6	50 ATLANTIC AVENUE	11201
BROOKLYN BRIDGE PARK PIER 6	15 ATLANTIC AVENUE	11201
BRYANT MANOR LLC	1702 BRYANT AVENUE	10460
BSDC 233 STUYVESANT AVE HDFC.PLP.FY18	233 STUYVESANT AVENUE	11221
BUCKINGHAM - 2044 RICHMOND TERR - RESILIENCY	2044 RICHMOND TERRACE	10302
BUSHWICK AND EVERGREEN APARTMENTS	869 BUSHWICK AVENUE	11221
BUSHWICK AND EVERGREEN APARTMENTS	340 EVERGREEN AVENUE	11221
BUSHWICK CEDAR PARTNERS LLC.HUDMF.FY17	761 BUSHWICK AVENUE	11221
BUSHWICK PLACE VENTURE LLC	83 BUSHWICK PLACE	11206
Bay Park I Apartments (20140285)	3325 NEPTUNE AVENUE	11224
Bay Park I Apartments (20140285)	3405 NEPTUNE AVENUE	11224
Bay Park I Apartments (20140285)	2770 WEST 33 STREET	11224
Bay Park II Apartments (20140286)	3395 NEPTUNE AVENUE	11224
Bay Park II Apartments (20140286)	3415 NEPTUNE AVENUE	11224
Bay Park II Apartments (20140286)	2750 WEST 33 STREET	11224
Bay Street Senior Housing (20136026)	533 BAY STREET	10304
Belle Apartments HDFC	601 EAST 178 STREET	10457
Belmont Venezia	2431 BELMONT AVENUE	10458
Belmont Venezia	2404 CROTONA AVENUE	10458
Belmont Venezia	2476 HUGHES AVENUE	10458
Belmont Venezia	2412 CROTONA AVENUE	10458
Belmont Venezia	2416 CROTONA AVENUE	10458
Bensonhurst Housing For The Elderly	2160 78 STREET	11214
Brighton Houses Coop	500 BRIGHTWATER COURT	11235
Bronx Brooklyn HDFC	953 ANDERSON AVENUE	10452
Bronx Brooklyn HDFC	820 JACKSON AVENUE	10456
Bronx Brooklyn HDFC	972-976 LEGGETT AVENUE	10455
Bronx Brooklyn HDFC	60 WEST 162 STREET	10452
Bronx Brooklyn HDFC	951 WOODYCREST AVENUE	10452
Bronx Brooklyn HDFC	280 EAST 91 STREET	11212
Bronx Brooklyn HDFC	1031 WINTHROP STREET	11212
Bronx Brooklyn HDFC	1019 WINTHROP STREET	11212
Bronx Brooklyn HDFC	182 EAST 93 STREET	11212
Bronx Shepherds	1760 ANTHONY AVENUE	10457
Bronx Shepherds	796 EAST 163 STREET	10456
Bronx Shepherds	1590 EAST 172 STREET	10472
Bronx Shepherds	344 EAST 176 STREET	10457
Bronx Shepherds	1180 FOREST AVENUE	10456
Bronx Shepherds	2017 GRAND AVENUE	10453
Bronx Shepherds	942 LEGGETT AVENUE	10455
Bronx Shepherds	1866 LORING PLACE SOUTH	10453
Bronx Shepherds	1868 LORING PLACE SOUTH	10453
Bronx Shepherds	1679 POPHAM AVENUE	10453
Bronx Shepherds	1380 PROSPECT AVENUE	10459
Bronx Shepherds	1382 PROSPECT AVENUE	10459
Bronx Shepherds	1384 PROSPECT AVENUE	10459
Bronx Shepherds	970 TINTON AVENUE	10456
Bronx Shepherds	1764 TOPPING AVENUE	10457
Bronx Shepherds	925 UNION AVENUE	10459
Bronx Shepherds	981 UNION AVENUE	10459
Bronx Shepherds	445 EAST 171 STREET	10457
Bronx Shepherds	1360 CLINTON AVENUE	10456
Brook Avenue Apartments	469 EAST 147 STREET	10455
Brook Avenue Apartments	455 EAST 147 STREET	10455
Bruckner Houses	576 TIMPSON PLACE	10455
Bruckner Houses	588 TIMPSON PLACE	10455
Bruckner Houses	600 TIMPSON PLACE	10455
Burnside Associates	2324 DAVIDSON AVENUE	10468
Burnside Associates	54 EVELYN PLACE	10468
Burnside Associates	2314 MORRIS AVENUE	10468
CABS Senior Housing (20140198)	590 DEKALB AVENUE	11205
CALVARY BAPTIST. HUDMF. FY20	160-30 CLAUDE AVENUE	11433
CAMBA GARDENS 2. 560 WINTHROP	560 WINTHROP STREET	11203
CAMBA. 210-214 HEGEMAN AVE	212 HEGEMAN AVENUE	11212
